Date,"Adolf Hitler"
2023-07-26,4671
2023-07-27,3694
2023-07-28,3324
2023-07-29,3443
2023-07-30,3585
2023-07-31,3634
2023-08-01,3243
2023-08-02,3293
2023-08-03,3241
2023-08-04,3244
2023-08-05,3113
2023-08-06,3386
2023-08-07,3089
2023-08-08,3264
2023-08-09,3252
2023-08-10,3060
2023-08-11,3116
2023-08-12,3310
2023-08-13,3925
2023-08-14,3374
2023-08-15,3436
2023-08-16,3395
2023-08-17,3433
2023-08-18,3338
2023-08-19,3213
2023-08-20,3448
2023-08-21,4555
2023-08-22,4039
2023-08-23,3773
2023-08-24,3751
2023-08-25,3670
2023-08-26,3104
2023-08-27,3630
2023-08-28,3769
2023-08-29,3672
2023-08-30,4055
2023-08-31,3769
2023-09-01,3816
2023-09-02,3061
2023-09-03,3322
2023-09-04,3479
2023-09-05,4028
2023-09-06,3840
2023-09-07,3807
2023-09-08,3742
2023-09-09,3162
2023-09-10,3419
2023-09-11,3501
2023-09-12,3682
2023-09-13,3974
2023-09-14,4219
2023-09-15,3656
2023-09-16,3132
2023-09-17,3361
2023-09-18,5415
2023-09-19,4442
2023-09-20,4114
2023-09-21,4176
2023-09-22,3982
2023-09-23,3359
2023-09-24,3468
2023-09-25,3920
2023-09-26,4110
2023-09-27,3926
2023-09-28,3766
2023-09-29,3865
2023-09-30,4115
2023-10-01,4218
2023-10-02,3954
2023-10-03,4565
2023-10-04,3676
2023-10-05,3653
2023-10-06,3818
2023-10-07,3434
2023-10-08,3525
2023-10-09,3601
2023-10-10,3623
2023-10-11,3423
2023-10-12,3396
2023-10-13,3346
2023-10-14,3127
2023-10-15,5183
2023-10-16,3942
2023-10-17,3858
2023-10-18,4173
2023-10-19,4106
2023-10-20,3949
2023-10-21,4112
2023-10-22,3982
2023-10-23,3889
2023-10-24,3803
